date,state,total_cases
2026-07-06,Kerala,87
2026-07-13,Karnataka,0
2026-07-13,Kerala,113
2026-07-20,Karnataka,0
2026-07-20,Kerala,125
2026-07-27,Karnataka,0
2026-07-27,Kerala,134
2026-08-03,Karnataka,0
2026-08-03,Kerala,163
2026-08-10,Karnataka,0
2026-08-10,Kerala,196
2026-08-17,Karnataka,0
2026-08-17,Kerala,231
2026-08-24,Karnataka,0
2026-08-24,Kerala,266
2026-08-31,Karnataka,0
2026-08-31,Kerala,308
2026-09-07,Karnataka,0
2026-09-07,Kerala,354
2026-09-14,Karnataka,0
2026-09-14,Kerala,398
2026-09-21,Karnataka,0
2026-09-21,Kerala,430
2026-09-28,Karnataka,0
2026-09-28,Kerala,445
2026-10-05,Karnataka,0
2026-10-05,Kerala,484
2026-10-12,Karnataka,0
2026-10-12,Kerala,526
2026-10-19,Karnataka,0
2026-10-19,Kerala,573
2026-10-26,Karnataka,0
2026-10-26,Kerala,584
2026-11-02,Karnataka,0
2026-11-02,Kerala,575
2026-11-09,Karnataka,0
2026-11-09,Kerala,541
2026-11-16,Karnataka,0
2026-11-16,Kerala,506
2026-11-23,Karnataka,0
2026-11-23,Kerala,520
2026-11-30,Karnataka,0
2026-11-30,Kerala,539
2026-12-07,Karnataka,0
2026-12-07,Kerala,137
2026-12-14,Karnataka,0
2026-12-14,Kerala,173
2026-12-21,Karnataka,0
2026-12-21,Kerala,186
2026-12-28,Karnataka,0
2026-12-28,Kerala,165
